chr	strand	bp	GrandTotalSites=356325	#sub_lib_seen_this_site
chr6	+	89096271	140792	25
chr2	-	156176999	74331	18
chr7	+	90181473	22640	6
chr5	+	143590049	9	4
chr5	+	147510200	193	4
chr1	-	111857104	3575	3
chr11	+	48805343	7387	3
chr2	+	5878284	2909	3
chr2	+	98666913	4	3
chr2	-	165875728	13151	3
chr2	-	33695379	5	3
chr10	+	77306899	2	2
chr12	-	55445566	5	2
chr13	+	56709599	18079	2
chr17	-	61770284	2505	2
chr18	-	49697710	451	2
chr3	+	69010664	7525	2
chr3	-	4812619	4826	2
chr9	-	100595606	2	2
chr9	-	98855264	3	2
chrX	-	56667159	4924	2
0			0	1
chr1	+	97720968	3156	1
chr1	-	20221001	85	1
chr1	-	71902314	1854	1
chr10	+	16648302	429	1
chr10	+	51157708	1	1
chr10	-	24508814	11633	1
chr11	-	121586257	237	1
chr12	+	18756677	3	1
chr12	-	103583721	776	1
chr13	+	26426394	467	1
chr13	-	114874312	436	1
chr14	+	123533678	4	1
chr14	+	79350280	512	1
chr15	+	96920707	325	1
chr15	+	96920708	1	1
chr15	+	96920709	1	1
chr15	-	53119979	524	1
chr16	+	42802811	88	1
chr16	+	45180572	1	1
chr16	+	77463313	375	1
chr16	-	77534309	1	1
chr16	-	77534311	512	1
chr17	+	10286431	439	1
chr17	-	35713809	454	1
chr17	-	8253830	1	1
chr18	+	42565805	6547	1
chr2	+	110142079	608	1
chr2	+	112383779	36	1
chr2	+	154805268	3440	1
chr2	-	83826027	394	1
chr2	-	95558327	473	1
chr2	-	98667286	2	1
chr2	-	98667287	121	1
chr3	+	69010665	1	1
chr3	+	93007918	476	1
chr3	+	99336712	1	1
chr3	+	99792736	406	1
chr4	+	119566032	2327	1
chr4	-	126391965	362	1
chr4	-	17993922	725	1
chr5	+	100041647	83	1
chr5	+	105891037	426	1
chr5	+	13063043	796	1
chr5	+	131207608	34	1
chr5	+	147510202	1	1
chr5	+	147510203	2	1
chr5	+	52860051	7	1
chr5	-	147510313	21	1
chr6	-	56716752	3390	1
chr7	+	110041989	5929	1
chr7	+	47821581	11	1
chr7	+	47979015	117	1
chr7	-	81401462	2617	1
chr7	-	84310941	2	1
chr7	-	84310942	522	1
chr8	+	111468842	4	1
chr8	+	7212436	316	1
chr9	-	3024150	1	1
chrX	+	155669840	1	1
chrX	+	69552123	493	1

